Suomi,English
koodi ,code 
soikoon ,let it ring 
Marcus ,Marcus 
sammuta ,turn off 
käytetään ,is used 
pitkän ,long 
oikeuden ,right 
kuolivat ,died 
nimellä ,mark 
voisivat ,they could 
pahalla ,bad 
jäänyt ,remaining 
tutkin ,I investigated 
avuksi ,of use 
opin ,i learned 
veivät ,took 
muualla ,elsewhere 
onkaan ,it is 
yritys ,company 
kyttä ,cop 
palasi ,returned 
Brian ,Brian 
tapettiin ,was killed 
valitse ,choose 
voittaja ,winner 
pannaan ,let's put 
tyyppiä ,type 
sanotte ,you say 
liittyä ,be joined 
putosi ,fell 
kuussa ,in the month 
lex ,lex 
nytkö ,now? 
tehtiin ,was made 
enemmänkin ,even more 
nero ,genius 
varasti ,stole 
heihin ,to them 
sanomaan ,to say 
liikkeellä ,on the move 
vuosien ,years 
toistan ,I repeat 
pystytkö ,can you 
jalat ,legs 
minussa ,in me 
päättänyt ,decided 
sanoisi ,would say 
tieto ,information 
lähdin ,i left 
ikkunasta ,from the window 
saadaan ,is obtained 
turha ,useless 
aikoihin ,by 
väärää ,wrong 
erottaa ,distinguish 
normaalia ,normal 
kuolevan ,dying 
laitoin ,I put 
Roy ,Roy 
Edward ,Edward 
paperit ,papers 
omalla ,on my own 
yläkertaan ,upstairs 
Smith ,Smith 
seksikäs ,sexy 
isot ,big ones 
talosta ,from the house 
puhuit ,you spoke 
vanhemmat ,parents 
piilossa ,tucked away 
elämääni ,my life 
pienet ,small ones 
toimimaan ,to operate 
hyväksyä ,accept 
Bruce ,Bruce 
kerrallaan ,at a time 
kysymyksen ,the question 
niinkuin ,like 
siisti ,neat 
työskennellä ,work 
toiminut ,worked 
odotat ,you wait 
pääni ,my head 
jeff ,Jeff 
lyön ,I'm hitting 
km ,km 
jouduin ,I had to 
kulkee ,passes 
seuraan ,follow me 
täyttä ,full 
laskekaa ,count 
tarkka ,exact 
suo ,swamp 
sanaakaan ,not a word 
house ,house 
eiköhän ,I suppose so 
taistelu ,fight 
kuulehan ,Listen 
huomiota ,attention 
paskiaiset ,bastards 
hulluja ,crazy 
kadun ,street 
puhelun ,call 
hank ,project 
toisessa ,in the other 
laskea ,calculate 
puku ,suit 
ymmärtänyt ,understood 
toiseksi ,second 
aiotte ,you are going to 
yhdestä ,from one 
sataa ,rain 
ajoi ,drove 
muitakin ,others too 
peliin ,to the game 
huonoa ,bad 
toimivat ,work 
aivot ,brain 
voitti ,won 
mennäänkö ,shall we go 
pormestari ,mayor 
mahdollisesti ,possibly 
Yhdysvaltain ,of the United States 
elämästä ,of life 
York ,York 
yksinäinen ,lonely 
maksamaan ,to pay 
senttiä ,cents 
mentiin ,we went 
vaihtoehto ,alternative 
näimme ,we saw 
miljoonan ,million 
tärkein ,main 
tähti ,star 
viimeinkin ,Finally 
treffit ,date 
sokea ,blind 
jestas ,jeez 
yritit ,you tried 
syön ,i eat 
luoksesi ,to you 
poliisia ,the police 
valoa ,light 
luke ,Luke 
nätti ,pretty 
vartija ,guard 
ruma ,ugly 
kolmeen ,to three 
sanoiko ,Did he say 
kamala ,horrible 
kuulleet ,heard 
rakastin ,i loved 
ettette ,you don't 
vika ,fault 
miss ,miss 
kirjaa ,records 
räjähtää ,explode 
henkesi ,your life 
huolen ,worry 
kuumaa ,hot 
halusivat ,wanted to 
Marty ,Marty 
aikojen ,of the times 
kohtaa ,encounter 
of ,of 
odotetaan ,is expected 
näettekö ,You see 
oot ,you are 
oo ,yes 
tyhmää ,stupid 
osta ,buy 
todennäköisesti ,likely 
opetti ,taught 
juosta ,run 
kaikella ,with everything 
parhaan ,the best 
poikansa ,his son 
pahoittelen ,I'm sorry 
takiasi ,because of you 
työtäni ,my work 
parhaani ,my best 
kusessa ,in the shit 
taaksepäin ,backwards 
valinta ,selection 
välitän ,i care 
opit ,you learn 
elä ,live 
nukkuu ,is sleeping 
rakentaa ,build 
rauhaa ,peace 
vanki ,prisoner 
palvelus ,service 
onnittelut ,pat on the back 
valmistautukaa ,get ready 
kuuluisa ,renowned 
todellista ,real 
Fred ,Fred 
kysyy ,asks 
istuu ,sitting 
oon ,i am 
luovuttaa ,alienate 
tulevaisuus ,future 
aseenne ,your weapon 
suojaa ,protect 
jätkät ,dudes 
lain ,of the law 
onnistunut ,successful 
paskan ,shit 
joukkue ,team 
vanhempi ,senior 
hoitamaan ,to take care of 
ystävällinen ,friendly 
yhtiön ,of the company 
rakkaani ,my beloved 
rose ,rose 
lopun ,the end 
ilkeä ,malicious 
toimintaa ,activity 
tavanneet ,have met 
syntynyt ,born 
äidille ,for mom 
sisko ,sister 
paljastaa ,reveal 
tapetaan ,to be killed 
elokuvan ,the movie 
vauvan ,infant 
ampukaa ,shoot 
Yorkin ,of York 
lupa ,authorization 
elävänä ,on the hoof 
laitetaan ,let's put 
laki ,law 
lyhyt ,short 
salaisuus ,secret 
pahempaa ,worse 
vessassa ,in the toilet 
sulkea ,close 
rentoudu ,Relax 
nauti ,enjoy 
menisi ,would go 
vahinko ,damage 
saadakseen ,for 
täyttää ,fill 
päätin ,I decided 
varmista ,make sure 
tilaisuuden ,the occasion 
uskomme ,we believe 
mieli ,mind 
ajattelee ,thinks 
sängyssä ,in bed 
lääkärin ,medical 
kysyttävää ,questions 
asianajaja ,lawyer 
kauhea ,terrible 
kaverisi ,your friend 
hinta ,price 
jatkamme ,we continue 
terveisiä ,greetings 
hälytys ,alarm 
hyväksy ,accept 
käteen ,on 
rauhan ,of peace 
käsiksi ,within reach 
älkää ,start 
silmiin ,into the eyes 
ovea ,the door 
kuulet ,you hear 
ansa ,trap 
pidättää ,reserve 
aamu ,morning 
olenkin ,I am 
muuttua ,shift 
yllä ,above 
saisit ,you would get 
big ,big 
Tyler ,Tyler 
käännä ,turn 
onnistui ,succeeded 
muutamia ,a few 
herätä ,wake up 
laittakaa ,please put 
kaupunkia ,city 
miljoona ,million 
kuolemasta ,of death 
virtaa ,flows 
tiedon ,of information 
ymmärrättekö ,do you understand 
miles ,miles 
työskentelen ,I am working 
keskity ,concentrate 
sanoitko ,Did you say 
sotilaita ,soldiers 
oletkin ,you are 
paskapuhetta ,bullshit 
humalassa ,drunk 
operaatio ,operation 
korkea ,high 
löydettävä ,to be found 
juoskaa ,to run 
olla ,be 
löysivät ,found 
toinenkin ,another one too 
puheen ,speech 
välissä ,between 
menimme ,we went 
löytämään ,to find 
Jackie ,Jackie 
aikovat ,are going to 
sormus ,ring 
osoite ,address 
ystävämme ,our friend 
tappakaa ,kill 
nälkäinen ,hungry 
tarkoitti ,meant 
siskosi ,your sister 
perääntykää ,Back off 
tietäisin ,i would know 
sanan ,word 
hakemassa ,applying 
pelissä ,in play 
pistää ,inject 
kyllä ,Yes 
aikamoinen ,pretty good 
voita ,win 
voimakas ,strong 
luulit ,you thought 
maailmaan ,to the world 
aito ,genuine 
käyttävät ,are using 
roger ,Roger 
hengittää ,breathe 
pilaa ,mess up 
kaveria ,a friend 
vakava ,serious 
viemme ,we take 
pahan ,evil 
miehestä ,about the man 
hiukset ,hair 
tykkään ,i like 
juhlia ,celebrate 
yläkerrassa ,upstairs 
pärjäät ,you will be fine 
uuteen ,to the new one 
itselleen ,to himself 
millaisia ,what kind 
nai ,fuck 
Ross ,Ross 
syytäni ,my fault 
juhliin ,to the party 
surullinen ,sad 
-llä ,-with 
tiellä ,under foot 
tanssi ,dance 
viet ,you take 
in ,in 
kysynyt ,asked 
laittoi ,put 
teihin ,to you 
-vuotiaana ,-years old 
siinäkö ,That's it 
nimeltään ,titled 
tylsää ,boring 
muusta ,from the rest 
ymmärsin ,I understood 
voitin ,i won 
kytät ,you can 
valmentaja ,coach 
vapauttaa ,release 
periksi ,to give up 
ehdotan ,I suggest 
häipykää ,fade away 
pohjois- ,north 
löydettiin ,was found 
soitit ,you called 
erilaista ,different 
miehenne ,your husband 
vene ,boat 
pahin ,worst 
bart ,Bart 
suuria ,big ones 
etelään ,southward 
lakia ,law 
tyttöjen ,of girls 
morgan ,Morgan 
kaikessa ,in everything 
lapsille ,for children 
ratkaisu ,solution 
kippis ,Cheers 
luuletteko ,do you think 
luuli ,thought 
näytänkö ,Shall I show 
nimenne ,your name 
inhoan ,I hate it 
malja ,cup 
poju ,sonny 
mukaamme ,with us 
palauttaa ,return 
älykäs ,intelligent 
pihalle ,to the yard 
lähemmäs ,closer 
murehdi ,worried 
riitti ,rite 
Annie ,Annie 
kuuletteko ,do you hear 
mulla ,i have 
kirjoitin ,printer 
varmoja ,certain 
osti ,bought 
kuukausi ,month 
vuotaa ,leak 
Julie ,Julie 
kokenut ,experienced 
hakekaa ,Apply 
vihreä ,green 
Kim ,Kim 
ilmoittaa ,inform 
Terry ,Terry 
paikat ,seating 
minuutti ,minute 
oloni ,my mood 
lähettäkää ,please send 
uutinen ,news 
kirjoittanut ,written by 
lento ,flight 
kirjeen ,the letter 
äitiä ,mother 
tavarat ,goods 
levätä ,rest 
pimeää ,dark 
lintu ,bird 
poistaa ,remove 
perseestä ,ass 
tim ,Tim 
noista ,of those 
koulu ,school 
jean ,jean 
Yorkiin ,to York 
syntymäpäivää ,birthday 
vieras ,guest 
menetti ,lost 
suloinen ,sweet 
menevän ,to go 
uskovat ,believe 
housut ,pants 
beibi ,baby 
ilmaan ,up 
wayne ,Wayne 
tottakai ,of course 
liittovaltion ,federal 
kuului ,was heard 
soitat ,you call 
mielesi ,your mind 
vakavaa ,serious 
suurimman ,the biggest 
paremman ,better 
Elizabeth ,Elizabeth 
totuutta ,the truth 
lupasi ,promised 
ohjelma ,program 
siksikö ,That's why 
tapahtunutta ,happened 
löi ,hit 
nostakaa ,lift up 
valtaa ,power 
ostan ,i buy 
lopuksi ,finally 
vastauksia ,answers 
katsella ,view 
tehtävän ,task 
portti ,port 
Steven ,Steven 
rakastavat ,they love 
menetimme ,we lost 
yhteistyötä ,cooperation 
rakasti ,loved 
nimet ,the names 
asut ,wear 
Leonard ,Leonard 
molempia ,both 
samanlaisia ,similar 
saatko ,can you 
takuulla ,sure 
olevat ,those 
tilanteessa ,in the situation 
sopiva ,suitable 
välin ,between 
syntyi ,born in 
vasemmalla ,on the left 
valehdella ,lie 
kuuden ,six 
Cole ,Cole 
sekö ,it's okay 
howard ,howard 
eroa ,break up 
koulusta ,from school 
tutulta ,familiar 
tahdotko ,do you want 
yhteistä ,in common 
jälkiä ,traces 
huolissaan ,concerned 
asu ,outfit 
miehensä ,her husband 
koeta ,to experience 
myöskään ,neither 
merkkejä ,characters 
huolehdin ,i took care 
rajan ,the border 
hidasta ,slow down 
ennenkuin ,before 
selviämme ,we will survive 
mulle ,to me 
nimeen ,by 
ruumista ,body 
pelätä ,play 
rohkea ,brave 
rakennus ,building 
tietokone ,computer 
kaikkeen ,for everything 
heiltä ,from them 
radio ,radio 
kuuluuko ,right? 
tartu ,grab 
yhdistää ,compound 
luoti ,bullet 
sydämen ,cardiac 
lähtevät ,are leaving 
täti ,aunt 
potilas ,patient 
poikia ,cub 
pala ,piece 
kultaa ,gold 
lähemmäksi ,closer 
laite ,device 
munaa ,egg 
voida ,be 
Jesse ,Jesse 
FBI ,FBI 
koulua ,school 
CTU ,CTU 
haluta ,want 
isoja ,big ones 
sitäkö ,That's it 
pysäyttäkää ,Stop it 
omani ,my own 
dick ,Dick 
joukko ,set 
and ,and 
tajunnut ,realized 
vaikeuksia ,difficulties 
asunto ,housing 
koneeseen ,to the machine 
toisten ,of others 
vaikutuksen ,effect 
alku ,initial 
vietiin ,was taken 
herättää ,wake 
kääntää ,turn 
pöydän ,the table 
rannalla ,onshore 
elämääsi ,your life 
alasti ,naked 
Mulder ,Mulder 
tasan ,equally 
vieläkö ,still 
vieraita ,guests 
tämäkö ,This is it 
valehtelee ,is lying 
iltapäivällä ,afternoon 
nimiä ,names 
tuottaa ,produce 
mukaansa ,along with it 
tajuan ,I understand 
löydy ,is found 
koskea ,concern 
jolle ,to whom 
siirry ,move on 
tarvitsisi ,would need 
esitys ,presentation 
tilannetta ,the situation. 
rahan ,money 
seurassa ,with 
menoksi ,going 
vastatkaa ,please answer 
vanhat ,old ones 
rukoilen ,i pray 
enkeli ,angel 
rakennuksen ,the building 
varas ,thief 
jalkani ,my leg 
pilata ,ruin 
pettää ,deceive 
lienee ,will 
puhuttava ,talkative 
Leo ,Leo 
joukkoon ,among 
iskeä ,strike 
osannut ,knew how 
autat ,you help 
suunnitelmia ,plans 
hommiin ,to work 
ensinnäkin ,in the first place 
kysyt ,you ask 
Rick ,Rick 
pelkäsin ,I was afraid 
antaisi ,would give 
helpompaa ,easier 
aikoja ,times 
tonnia ,tons 
päivästä ,of the day 
kelly ,kelly 
yöksi ,overnight 
tapasi ,met 
erinomaista ,excellent 
käynnissä ,in progress 
käytät ,you use 
lutka ,slut 
jokaista ,each one 
muuttui ,changed 
ollutkaan ,had been 
panen ,I bet 
muutakaan ,nothing else 
pieleen ,wrong 
aloitan ,I'll start 
lepää ,rest 
vanhempasi ,your parents 
hulluna ,crazy 
veljet ,brothers 
musiikki ,music 
pahus ,Heck 
maistuu ,it tastes good 
huutaa ,shout 
jumalaa ,god 
aikoi ,intended 
käydään ,let's go 
sanottiin ,was said 
päänsä ,his head 
ehtinyt ,had time 
asioiden ,of things 
sulle ,to you 
vessaan ,in the bathroom 
linja ,line 
kutsuvat ,are inviting 
syytön ,blameless 
sanoen ,saying 
taloa ,house 
amerikkalaiset ,Americans 
keksit ,cookies 
kivi ,stone 
väärän ,the wrong one 
kaikenlaista ,all kinds of 
auringon ,solar 
Connor ,Connor 
kuunnellut ,listened to 
ovesta ,from the door 
isää ,father 
Bauer ,Bauer 
lähdit ,you left 
kukkia ,flower 
epäilty ,suspect 
selviät ,you will survive 
saattaisi ,might 
frodo ,Frodo 
oletpa ,you are 
sinunkin ,yours too 
taisit ,i guess 
rehellisesti ,fair 
toisesta ,from another 
omista ,own 
vuoksesi ,for you 
virus ,virus 
Gordon ,Gordon 
roskaa ,garbage 
rikos ,criminal 
säästä ,filth 
joitakin ,some 
luokan ,class 
keskittyä ,centralize 
käytin ,i used 
näytätte ,you show 
lujaa ,hard 
pappi ,priest 
yksinkertainen ,simple 
auttanut ,helped 
taistelussa ,in action 
Maggie ,Maggie 
yhtiö ,company 
Wilson ,Wilson 
parempaan ,for the better 
pysyt ,you stay 
vaimon ,the wife 
häiritä ,disturb 
Barry ,Barry 
muutenkin ,as it is 
sattunut ,happened 
hyökkäys ,attack 
silmäni ,my eyes 
osavaltion ,state 
puhuneet ,have spoken 
reitti ,route 
pastori ,pastor 
aseella ,with a gun 
Johnson ,Johnson 
lapsena ,as a child 
mahdollisuuksia ,opportunities 
tyttöystävä ,girlfriend 
pakottaa ,force 
historiaa ,history 
ammutaan ,let's shoot 
pelasta ,save 
vaikutti ,affected 
valittu ,chosen 
surullista ,sad 
sotilaat ,troop 
läski ,fat 
kuulunut ,heard 
Doug ,Doug 
mustaa ,black 
kuulosti ,sounded like 
tavaroita ,goods 
elän ,i live 
itsestäni ,about myself 
seuraavalla ,on the next one 
tarkistan ,I will check 
joitain ,some 
apina ,monkey 
koirat ,dogs 
seuraamme ,we follow 
peräänny ,back off 
painua ,sink 
doc ,doc 
mustan ,black 
hotelli ,hotel 
vaikuttavaa ,impressive 
satoja ,hundreds 
jäsen ,member 
ongelmasi ,your problem 
vievät ,will take 
jutellaan ,let's talk 
vapaata ,off 
eläin ,animal 
yllättynyt ,surprised 
tuliko ,did you come 
päivät ,days 
historian ,of history 
puhetta ,talk 
hermostunut ,nervous 
tekstitys ,subtitles 
puolelta ,from the side 
henkilön ,person 
perjantaina ,on Friday 
istun ,I'm sitting 
luvun ,chapter 
tuhoaa ,destroys 
ihmeellistä ,wonderful 
Katie ,Katie 
lista ,list 
suurempi ,bigger 
tapella ,fight 
ken ,who 
ansiosta ,thanks to 
ajassa ,in time 
Patrick ,Patrick 
oikeita ,real ones 
ongelmaa ,problem 
joudumme ,we have to 
enhän ,I don't 
soi ,is ringing 
oudolta ,strangely 
katsoi ,looked at 
tottunut ,accustomed to 
tuuli ,wind 
huijata ,cheat 
vihollisen ,the enemy 
askel ,step 
pankaa ,bank 
kenellä ,by whom 
avaan ,I will open 
tavallista ,usual 
pakota ,force 
henkilökohtaista ,personal column 
paskaakaan ,shit 
sekunnin ,of a second 
antavat ,give 
osasto ,department 
ettekä ,and you don't 
kuulkaa ,listen 
tarkoitatte ,you mean 
uhka ,risk 
vankilasta ,from prison 
tuhma ,naughty 
käytämme ,we use 
myöhä ,late 
menoa ,to go 
kertovat ,tell 
ajoin ,I drove 
ero ,differential 
vaikuta ,affect 
osoitteessa ,at the address 
tulevaisuuden ,coming 
lopettanut ,through 
löysitkö ,Did you find 
sulkekaa ,shut up 
asiakas ,customer 
baarissa ,at the bar 
uudesta ,from the new one 
päätti ,boat 
Gary ,Gary 
miehistä ,of men 
suudella ,kiss 
luen ,I'm reading 
näköinen ,-looking 
häät ,wedding 
kännissä ,smashed 
arvaan ,i guess 
lähtivät ,they left 
löytävät ,will find 
kerrottavaa ,something to tell 
miksemme ,why not 
valehtelit ,you lied 
poikanne ,your son 
vanhus ,senior citizen 
tutki ,investigate 
nauttia ,have 
ilma ,air 
paita ,shirt 
kirje ,letter 
vastauksen ,the answer 
töistä ,from work 
miksette ,why don't you 
vahingossa ,accidentally 
kaikkiin ,to everyone 
rahasi ,your money 
autosi ,your car 
hoidettu ,taken care of 
annatko ,do you give 
my ,me 
puhutko ,are you talking 
päällesi ,on you 
mahdollinen ,possible 
tehän ,I will 
laskee ,counts 
liikkua ,move 
etenkin ,especially 
an ,an 
petturi ,traitor 
esille ,up 
astu ,step in 
helen ,Helen 
sanani ,my words 
ystävänsä ,his friend 
sitähän ,that's it 
näpit ,keys 
autoja ,cars 
erityisesti ,particularly 
tosissaan ,seriously 
pystymme ,we can 
lasken ,I count 
tekin ,also 
tunteita ,emotions 
pääsevät ,can get 
vallan ,power 
erityinen ,special 
myrsky ,storm 
varoitus ,Warning 
hotellissa ,at a hotel 
nappaa ,grab 
veren ,blood 
palaat ,you return 
viikonloppuna ,on the weekend 
saattavat ,might 
lana ,lana 
näittekö ,Did you see? 
tapamme ,we kill 
kunnioitusta ,respect 
parhaita ,the best 
joukot ,forces 
voitto ,profit 
näihin ,to these 
suihkussa ,in the shower 
voittanut ,won 
veitsi ,knife 
eläimiä ,animals 
outoja ,strange 
varsinainen ,actual 
hevonen ,horse 
hankala ,tricky 
parempia ,better ones 
keskus ,central 
tuonut ,brought 
työt ,work 
kuun ,lunar 
sivuun ,aside 
jutusta ,about the story 
nouskaa ,get up 
äänen ,sound 
ned ,Sun 
menneet ,gone 
jollain ,with something 
jalka ,foot 
hommia ,chores 
joutunut ,had to 
soittamaan ,to call 
jokaisella ,with everyone 
taistele ,fight 
toivo ,hope 
epäilen ,I doubt it 
numeron ,the number 
mikäs ,what 
elämme ,we live 
planeetan ,the planet 
vastannut ,answered 
kiirehdi ,hurry up 
lihava ,fat 
armoa ,mercy 
kahteen ,to two 
kävele ,take a walk 
puoliksi ,in half 
miller ,Miller 
tehtävää ,task 
normaalisti ,normally 
käskyjä ,orders 
miekka ,sword 
tapahtuisi ,would happen 
kuulosta ,sound 
Jackin ,Jack's 
onni ,luck 
pentu ,puppy 
erilaisia ,different sorts of 
sovimme ,we agreed 
lou ,Lou 
lincoln ,lincoln 
juonut ,drank 
vikani ,my fault 
tutkimme ,we investigate 
jenny ,Jenny 
nähty ,seen 
laiva ,ship 
valon ,the light 
erota ,differ 
kylmää ,cold 
herätys ,wake-up 
Andrew ,Andrew 
vastausta ,answer 
takki ,jacket 
pyysit ,you asked 
sydämesi ,your heart 
virheitä ,errors 
löytynyt ,found 
kauppa ,trade 
kestänyt ,endured 
kirjoja ,books 
tila ,status 
nuoria ,young people 
näkynyt ,seen 
katsonut ,watched 
kahdessa ,in two 
tunnetteko ,do you feel 
perheensä ,his family 
ylikonstaapeli ,sergeant 
luulitko ,Did you think 
arvata ,guess 
riskin ,the risk 
tällaisen ,like this 
isoa ,big 
luulimme ,we thought 
sittenkin ,even so 
kunnian ,honor 
yrittivät ,tried 
selitän ,I'll explain 
selkään ,back 
käyttöä ,use 
pääsette ,you can 
länteen ,westward 
lopullisesti ,finally 
ystävän ,a friend 
itään ,east 
ilmaiseksi ,free 
maitoa ,milk 
autolla ,by road 
jäin ,i stayed 
omaan ,to my own 
Ron ,Ron 
haluaako ,do you want 
metsässä ,in the forest 
tuhoa ,destroy 
luule ,think 
kauemmin ,longer 
temppu ,trick 
laitonta ,illegal 
makaa ,lie down 
itke ,cry 
näyttelijä ,actor 
tienneet ,knew 
tyttöystäväni ,my girlfriend 
kera ,with 
polta ,smoke 
lapsesi ,your child 
Jacob ,Jacob 
kuoliaaksi ,to death 
kotoa ,from home 
syyn ,the reason 
merkitse ,mark 
pelottavaa ,scary 
nousi ,rose 
lahjoja ,gifts 
lauantaina ,on Saturday 
ampumaan ,to shoot 
läheltä ,at close range 
lahjan ,a gift 
joulu ,Christmas 
ruumiita ,corpses 
tuollaisia ,like that 
taksi ,taxi 
ammuin ,i shot 
unia ,dreams 
pysyn ,i stay 
Taylor ,Taylor 
puolestaan ,in turn 
täsmälleen ,exactly 
Louis ,Louis 
arvasin ,I guessed 
erikoista ,special 
oikeudessa ,in court 
puhelimen ,phone 
sulla ,you have 
isääni ,my father 
Derek ,Derek 
benjamin ,Benjamin 
ympärillä ,around 
suuret ,big ones 
tuskaa ,pain 
ilmassa ,in the air 
hoitaja ,nurse 
tällaisia ,like these 
ajatuksia ,thoughts 
lähetettiin ,was sent 
tarinoita ,stories 
onkohan ,is it 
sisar ,sister 
yleisö ,audience 
isompi ,bigger 
ampuko ,shoot 
jatkan ,i will continue 
tulisit ,you would come 
elävät ,are living 
ilmestyi ,appeared 
ilmaista ,express 
virallisesti ,officially 
ampuu ,shoots 
likainen ,dirty 
työskenteli ,was working 
potter ,Potter 
tarkemmin ,more specifically 
nuoret ,young people 
määrää ,quantity 
päiviä ,days 
oikealta ,from the right 
tarvitsin ,i needed 
korkeutenne ,your highness 
noiden ,those 
ottavat ,are taking 
maksat ,you pay 
hienoja ,great ones 
ensiksi ,first 
kielletty ,forbidden 
vanhaan ,old 
jäljittää ,trace 
kysymykseen ,to the question 
pettynyt ,disappointed 
tarkoitettu ,intended 
mukanasi ,with you 
suojaan ,for protection 
leikata ,cut 
häivyn ,i disappear 
Seth ,Seth 
jäämme ,we stay 
nolla ,zero 
vikana ,wrong 
omistaja ,owner 
varoittaa ,warn 
syövät ,cancers 
pahoin ,badly 
vuoroni ,my turn 
päätöksen ,the decision 
pysähtykää ,please stop 
jostakin ,about something 
alussa ,at the beginning of 
upealta ,wonderful 
parker ,Parker 
johtajan ,the manager 
myötä ,with 
erästä ,of a batch 
asemalle ,to the station 
heitti ,threw 
sinäkään ,you too 
välität ,you care 
tytöstä ,about the girl 
käskyn ,I command 
käyvät ,are going 
toimisto ,office 
runkkari ,a jerk 
kirkon ,of the church 
turvaan ,for safekeeping 
vienyt ,taken 
pyhän ,holy 
vahvistaa ,confirm 
kerrankin ,for once 
kieltä ,language 
karen ,Karen 
pankki ,bank 
haluaisimme ,we would like to 
vastustaa ,resist 
luulisi ,you would think 
vein ,I took 
mitähän ,what 
näyttäkää ,show me 
saarella ,on the island 
ampuja ,shooter 
maksavat ,are paying 
puhelinta ,phone 
tapahtumaan ,to the event 
räjäyttää ,blow up 
toisinaan ,sometimes 
vakuuttaa ,convince 
maanantaina ,on Monday 
luku ,number 
taatusti ,certainly 
-lla ,-with 
toisensa ,each other 
pani ,put 
aiheutti ,caused 
tärkeitä ,important 
kuulimme ,we heard 
keskelle ,in the middle 
ääniä ,sounds 
meren ,marine 
petti ,cheated 
pankin ,of the bank 
hengiltä ,from spirits 
täydellisesti ,perfectly 
pahinta ,the worst 
salaa ,secretly 
kirottu ,damnable 
tuolle ,to that 
unohdit ,you forgot 
rocky ,Rocky 
vieköön ,let me take 
koneet ,machinery 
salli ,fellow 
rauha ,peace 
salassa ,in secrecy 
alueelle ,to the area 
vaihda ,switch 
jossakin ,somewhere 
teetkö ,do you 
veteen ,into the water 
tajuta ,realize 
öisin ,nightly 
pelkäänpä ,I'm afraid 
kauaa ,a long time 
käyt ,you use 
Kenny ,Kenny 
pitävän ,to like 
autot ,car pool 
johan ,John 
poikaystävä ,boyfriend 
Amerikka ,America 
lopettamaan ,to stop 
sielu ,soul 
ansaitsee ,deserves 
tyttärensä ,his daughter 
ammuit ,you shot 
pimeässä ,in the dark 
kuollutta ,dead 
miljoonia ,millions 
varattu ,reserved 
pam ,pam 
syvältä ,from deep 
työnsä ,his work 
toiste ,again 
viimeistä ,the last one 
linda ,Linda 
alkoivat ,began 
puhe ,speech 
kokous ,meeting 
omin ,my own 
pommin ,bomb 
tekemisissä ,dealing with 
haetaan ,applied for 
kätensä ,his hand 
neitsyt ,Virgin 
kahdesta ,out of two 
taistelemaan ,to fight 
riittävän ,enough 
toisaalta ,secondly 
asema ,station 
antaisin ,I would give 
paikallaan ,in place 
luoda ,create 
selvinnyt ,survived 
kaupan ,on the market 
kateissa ,missing 
mukanani ,with me 
voimia ,forces 
just ,just 
molly ,Molly 
kättä ,hand 
voitit ,you won 
yritimme ,we tried 
tuhatta ,a thousand 
