Suomi,English
olisikin ,would be 
kovempaa ,harder 
serkkuni ,my cousin 
poistu ,get out 
veti ,pulled 
tanssimaan ,to dance 
valehtelin ,i lied 
tunnistaa ,recognize 
Vincent ,Vincent 
sisältä ,from within 
pallon ,the ball 
silmä ,eye 
muistatteko ,Do you remember? 
sotaan ,to war 
teitkö ,Did you 
häiritse ,disturb 
tuntematon ,unknown 
avaimen ,the key 
ampunut ,shot 
tapaat ,you meet 
tunnetaan ,is known 
nimessä ,in the name of 
koittaa ,dawn 
vitussa ,fucking 
salaisuuksia ,secrets 
vaadin ,female reindeer 
tuttu ,known 
joihin ,to which 
keksinyt ,invented 
isoisä ,grandfather 
jalkasi ,your feet 
pihalla ,in the yard 
olosi ,how you feel 
paranee ,getting better 
naiselle ,for a woman 
rakastanut ,loved 
keinon ,way 
juutalainen ,Jewish 
ethan ,Ethan 
etsimässä ,looking for 
päivään ,to the day 
ideoita ,ideas 
turhaa ,pointless 
käynnistä ,turn on 
haluaisitteko ,Would you like to 
työnnä ,Push 
muutu ,change 
kerrohan ,Let me tell you 
murhattiin ,was murdered 
kertoisin ,I would tell 
kuuli ,heard 
lähetys ,transmission 
väki ,people 
entäpä ,what about 
Nancy ,Nancy 
tulitko ,did you come 
isäntä ,host 
aloitti ,started 
mac ,mac 
Washington ,Washington 
saatoit ,you could 
englannin ,English 
aamiaista ,breakfast 
heräsin ,I woke up 
ilmoita ,notify 
Nathan ,Nathan 
laulu ,song 
välttää ,avoid 
elämässäni ,in my life 
-een ,to 
palataan ,let's go back 
maksanut ,paid 
väärään ,wrong 
ohjaa ,guide 
kentällä ,in the field 
Brad ,Brad 
ohitse ,by 
vuokseni ,for me 
ehdin ,I had time 
hypätä ,jump 
poikien ,boys 
puhuen ,talking 
isääsi ,your father 
käyttämään ,to use 
asioihin ,to things 
valitsi ,chose 
maailmasta ,of the world 
ikkunan ,the window 
valkoisen ,white 
amanda ,Amanda 
jännittävää ,exciting 
pelaamaan ,to play 
uhrin ,victim 
mielenkiintoinen ,interesting 
teal'c ,Teal'c 
keikka ,gig 
isku ,impact 
kaikissa ,in all of them 
lattialle ,on the floor 
pidettävä ,to be held 
pöytä ,table 
luonani ,at my house 
edellä ,above 
äidillesi ,to your mother 
pakeni ,ran away 
emma ,Emma 
työskentelet ,you work 
lähtekää ,go away 
söin ,i ate 
tyttöni ,my girl 
nautin ,I enjoyed 
vähintään ,at least 
lääkkeitä ,medicines 
ranskan ,french 
ansaitse ,earn 
pelkoa ,fear 
huomaatko ,Do you notice 
uskoisi ,would believe 
vuoro ,turn 
pyydät ,you ask 
linjalla ,on the line 
pelko ,fear 
erikoinen ,special 
rock ,rock 
kappas ,brave 
paikallasi ,at your place 
kävimme ,we went 
äitiäsi ,your mother 
keneltä ,from whom 
kansa ,callus 
muutin ,I moved 
tuntevat ,feel 
pelastin ,i saved 
lady ,lady 
mietit ,you think 
parhaiten ,best 
sekopää ,nutcase 
kerroksessa ,on the floor 
peloissani ,scared 
odotas ,you wait 
hommat ,ropes 
Carlos ,Carlos 
luvulla ,century 
uskoin ,i believed 
muutos ,change 
jumalat ,the gods 
säästää ,save 
neidit ,ladies 
verrattuna ,compared to 
asui ,lived 
kulunut ,past 
veljensä ,his brother 
muuttanut ,moved 
sally ,Sally 
yhdelle ,for one 
malta ,Malta 
ambulanssi ,ambulance 
rakastamme ,we love 
ensimmäiset ,the first ones 
kala ,fish 
vampyyri ,vampire 
vankila ,prison 
saksan ,German 
vahingoittaa ,damage 
grace ,Grace 
luulenpa ,I think so 
toimittaja ,supplier 
utelias ,curious 
antoivat ,gave 
onnistua ,succeed 
kartta ,map 
Teddy ,Teddy 
varsin ,quite 
sanovan ,to say 
lois ,parasitic 
hattu ,hat 
täydellisen ,perfect 
las ,cal 
salaisuuden ,the secret 
siirtyä ,move 
isällesi ,to your father 
white ,white 
seksi ,sex 
muttet ,but you don't 
huoneesta ,from the room 
kortti ,tail 
molempien ,of both 
vapauden ,freedom 
syötävää ,something to eat 
söi ,ate 
syytäsi ,your fault 
mieleeni ,to my mind 
tarkistin ,I checked 
luuseri ,loser 
eläkkeelle ,for retirement 
varovaisia ,careful 
hetkessä ,overnight 
tietoinen ,aware 
kauniit ,beautiful ones 
hotellin ,the hotel 
huuda ,Scream 
pelkäävät ,are afraid 
logan ,Logan 
kipua ,pain 
muuttuvat ,are changing 
minkälainen ,what kind 
kutsumme ,we invite 
kuukausia ,months 
napata ,grab 
kävelylle ,for a walk 
kaikkeni ,my everything 
Beth ,Beth 
vangit ,prisoners 
iski ,struck 
ellemme ,unless we 
johdossa ,at the head 
tarvitsi ,needed 
pystyssä ,erect 
minulla ,i have 
rikollinen ,criminal 
käykää ,come on 
kunnioituksella ,with respect 
seriffi ,sheriff 
keskustelu ,discourse 
perjantai ,Friday 
isänne ,your father 
sammy ,Sammy 
amiraali ,admiral 
tiimi ,team 
samalta ,from the same 
ilmi ,out 
listalla ,on the list 
kostaa ,revenge 
lentokentälle ,to the airport 
tyttöystäväsi ,your girlfriend 
päivänjatkoa ,the rest of the day 
sopimusta ,agreement 
ollen ,being 
yrittäkää ,please try 
peto ,beast 
tukea ,support 
erityisen ,particularly 
näkisi ,would see 
maistaa ,taste 
pystyisi ,could 
lukossa ,locked 
kerrottava ,multiplicand 
hienot ,great ones 
aluetta ,area 
energiaa ,energy 
toisemme ,each other 
elänyt ,lived 
mieleni ,my mind 
minullekin ,me too 
viemään ,to take 
hevosen ,a horse 
minulle ,me 
pullo ,bottle 
uskoi ,believed 
kahdestaan ,alone 
pimeyden ,of darkness 
tulevaisuutta ,the future 
karkasi ,ran away 
haittaako ,do you mind 
viestiä ,message 
sellaiseen ,to such 
testi ,test 
takiani ,because of me 
kuulostat ,you sound 
ylikomisario ,superintendent 
jätät ,you leave 
selitä ,clear 
nauha ,tape 
puhuta ,to talk 
painukaa ,press down 
kahdella ,by two 
omassa ,in my own 
nukkunut ,slept 
tutkimaan ,to investigate 
isälle ,to the father 
pariin ,couple 
kerrotaan ,let's tell 
liput ,bunting 
katoaa ,disappears 
löydetty ,found 
Abby ,Abby 
tulokset ,score 
elät ,you live 
kiven ,stone 
tuhosi ,destroyed 
Robin ,Robin 
seuraavaan ,to the next one 
sinuna ,as you 
Amerikassa ,in America 
suunnitelman ,the plan 
ryhmän ,of the group 
Stark ,Stark 
turvallinen ,safe 
jutut ,stuff 
anne ,give 
jaksaa ,keep 
pelataan ,let's play 
tytölle ,for a girl 
tunsi ,felt 
yläpuolella ,above 
pääsy ,access 
kumpikaan ,neither of them 
jooko ,O.K 
kieltää ,prohibit 
Nina ,Nina 
sairasta ,sick 
hyökkää ,attack 
voitan ,I win 
paholaisen ,of the devil 
kultainen ,golden 
kerros ,layer 
tiukka ,tight 
johti ,led 
saadakseni ,in order to get 
eloon ,alive 
saattanut ,may have 
Angel ,Angel 
raportin ,the report 
noloa ,embarrassing 
saapunut ,arrived 
lääkärit ,Harley Street 
olisi ,would be 
elämämme ,our lives 
Lenny ,Lenny 
kääntyä ,turn 
oikeat ,the right ones 
nuoren ,young 
vaara ,wrong 
tunnette ,you know 
vahtia ,watch 
sisareni ,my sister 
sydämensä ,his heart 
Hitler ,Hitler 
ruumiit ,corpses 
you ,you 
päivittäin ,daily 
koneessa ,on the plane 
linnaan ,to the castle 
uskomaan ,to believe 
syntyy ,is born 
mustat ,the black ones 
poistukaa ,get out 
syödään ,let's eat 
arvon ,value 
asunnon ,apartment 
tuuri ,luck 
Lewis ,Lewis 
kasvanut ,grown up 
perse ,ass 
Jennifer ,Jennifer 
palvelusta ,of the service 
käymme ,we go 
sotku ,mess 
ottelu ,match 
suuntaa ,direction 
Vince ,Vince 
lehden ,magazine 
vihollisia ,enemies 
Greg ,Greg 
kent ,Kent 
suora ,direct 
itsemurha ,suicide 
hassu ,funny 
aikonut ,intended to 
tiesivät ,knew 
planeetta ,planet 
kertoiko ,Did you tell 
leikkaa ,cut 
toiselta ,from another 
neljäs ,fourth 
opetan ,I teach 
poikaani ,my son 
kiertää ,rotate 
ihmiset ,people 
ministeri ,minister 
otettava ,to be taken 
näinkö ,Did I see? 
ottivat ,took 
istut ,you sit 
liike ,business 
järjestelmä ,system 
kunnioittaa ,respect 
tekeväsi ,that you are doing 
elokuvaa ,movie 
voimat ,power 
von ,won 
onnellisia ,happy ones 
paholainen ,devil 
veit ,you take 
tulisitko ,would you come 
rotta ,rat 
toimistossa ,in the office 
matalaksi ,to low 
palkkasi ,your salary 
sut ,you 
naisista ,about women 
voiman ,power 
tappaisi ,would kill 
huijari ,charlatan 
iskee ,strikes 
ongelmana ,as a problem 
parhaillaan ,presently 
donna ,Donna 
Albert ,Albert 
käskee ,commands 
palkkaa ,wages 
panin ,I put 
vielä ,yet 
rohkeutta ,courage 
korjaa ,fix it 
lopetin ,i stopped 
olento ,being 
hallinnassa ,under control 
kutsut ,party 
ansainnut ,deserved 
tarjous ,offer 
rankka ,heavy 
lähetetään ,is sent 
pikkuinen ,little one 
riisu ,Undress 
suojelee ,protects 
odottamassa ,on hold 
molemmille ,for both 
tiedättehän ,you know 
maamme ,our country 
myönnä ,admit 
piiloon ,to hide 
tulessa ,on fire 
hajuakaan ,no smell 
keittiössä ,in the kitchen 
kiitän ,I thank you 
sormuksen ,the ring 
kävisi ,would do 
kutsuit ,you invited 
sammuttaa ,shut off 
kuulitteko ,You heard 
katolla ,on the roof 
etukäteen ,in advance 
Frankie ,Frankie 
ulkopuolelle ,outside 
järjestän ,I will arrange 
kuvernööri ,governor 
luki ,read 
tapahtuvan ,happening 
Brown ,Brown 
ratkaista ,solve 
Marie ,Marie 
kääntyy ,turns 
venäläiset ,Russians 
ohjelman ,program 
puu ,wood 
pysähtyä ,stop 
ann ,Ann 
järkyttynyt ,upset 
hyökkäsi ,attacked 
alakertaan ,downstairs 
kuuluvat ,belong 
kenestä ,of whom 
ottamatta ,without taking 
tällöin ,here 
unessa ,asleep 
kovia ,tough 
Martha ,Martha 
huonetta ,room 
hänkö ,Hanko 
pelkäätkö ,Are you afraid? 
saatu ,received 
sanomassa ,in the message 
kohdata ,face 
toivomme ,we hope 
kauniin ,the most beautiful 
palaavat ,are returning 
syöpä ,cancer 
päälleni ,on me 
Pariisissa ,in Paris 
Jay ,Jay 
lähetämme ,we send 
perustuu ,based on 
venäjän ,Russian 
pidätettiin ,was arrested 
kaikkialta ,from everywhere 
puhdasta ,clean 
muutan ,I'm moving 
arvokas ,valuable 
tekijä ,factor 
seuraavaa ,next 
taidamme ,we think 
viskiä ,whiskey 
lukemaan ,to read 
Lawrence ,Lawrence 
hirveä ,terrible 
kumpikin ,each 
pääsimme ,we made it 
Julia ,Julia 
cooper ,Cooper 
katua ,regret 
huhuu ,rumours 
taitava ,skilful 
vuodesta ,from the year 
uskollinen ,loyal 
otettu ,assumed 
ostamaan ,to buy 
jokaiselle ,for everyone 
halusimme ,we wanted 
käden ,the hand 
jäljet ,trace 
listan ,the list 
bileet ,rave 
rikkoa ,break 
unelma ,dream 
nauraa ,laugh 
elämästäni ,of my life 
maksetaan ,is paid 
sukua ,kindred 
peloissaan ,afraid 
toivoisin ,I would hope 
kauppaa ,trade 
näille ,for these 
valkoista ,white 
ilmoitan ,I'll let you know 
muuttamaan ,to change 
puhuvan ,to speak 
lukittu ,locked 
kasvattaa ,breed 
toimistoon ,to the office 
tehtäväni ,my mission 
rakastatko ,do you love 
muistoja ,memories 
kellon ,the clock 
selitys ,explanation 
lämmin ,warm 
luotettava ,reliable 
seinää ,the wall 
pahempi ,worse 
hävitä ,lose 
käärme ,snake 
kuulua ,belong 
korttelin ,block 
pilailetko ,Are you kidding me 
sellaisesta ,of such 
selviän ,I'll be fine 
kirkko ,church 
käsistä ,out of control 
rva ,Mrs 
hankalaa ,awkward 
kolmessa ,in three 
matkustaa ,travel 
laatikko ,box 
tultava ,to come 
Carol ,Carol 
kaduilla ,in the streets 
hiljaista ,quiet 
Rodney ,Rodney 
asemalla ,at the station 
Xvidsubs ,Xvidsubs 
seonnut ,mixed up 
juhlissa ,at the party 
uskokaa ,believe me 
pelottava ,scary 
alkaen ,from 
jäit ,you stayed 
Aaron ,Aaron 
lähtöön ,departure 
riski ,risk 
juttelemaan ,to chat 
joudu ,have to 
kirkossa ,in the church 
saatoin ,i could 
joukossa ,among 
street ,street 
pistettä ,points 
tietääkseni ,as far as I know 
päinvastoin ,vice versa 
puolta ,side 
erityistä ,special 
paremmaksi ,for better 
tuki ,support 
istui ,was sitting 
menetämme ,we lose 
alakerrassa ,downstairs 
käsiin ,hands 
ajattelemaan ,to think 
kolmannen ,the third 
tuulella ,in the mood 
mieheltä ,from a man 
valmistaudu ,get ready 
syvään ,deep 
hyvällä ,with good 
nauttikaa ,enjoy 
näyttänyt ,showed 
käsissä ,in hands 
Yhdysvaltojen ,of the United States 
tuomaan ,to bring 
kävelemään ,to walk 
tiedetään ,is known 
siirrä ,move 
seisoo ,standing 
huomaamatta ,unawares 
Angela ,Angela 
Scully ,Scully 
Marge ,Marge 
by ,by 
kutsuttu ,invited 
kutsuin ,I called 
rauhoittua ,calm down 
lääkettä ,medicine 
lounaalle ,for lunch 
bella ,Bella 
puntaa ,pounds 
hetkeä ,moment 
esi ,pre 
maksoin ,i paid 
lähettänyt ,sent by 
aloittakaa ,get started 
kaatui ,fell down 
kerää ,collect 
läheisiä ,close ones 
olisitko ,would you 
south ,south 
maya ,Maya 
merkin ,sign 
salama ,flash 
kallis ,expensive 
hullun ,crazed 
tällaiseen ,to such 
käskit ,you commanded 
vedän ,I pull 
ikkuna ,window 
green ,green 
koiraa ,a dog 
pysymme ,we stay 
oluen ,beer 
jahtaa ,chasing 
kasaan ,pile up 
ymmärsitkö ,Did you understand 
alkua ,the beginning 
kadota ,disappear 
käytännössä ,practically 
leiki ,play 
kävit ,you visited 
sekunnissa ,in a second 
alalla ,in the field 
satu ,fairy tale 
puolellani ,on my side 
kauemmas ,further 
kaukaa ,from afar 
soturi ,warrior 
fox ,fox 
harvoin ,rarely 
lippu ,ticket 
jätetään ,will be left 
siirtykää ,move on 
maailmalle ,to the world 
ah ,Ah 
salaista ,secret 
juu ,yep 
täyden ,full 
suunnitelmaa ,plan 
jee ,yay 
mahtaa ,might 
sujui ,it went well 
pelkkiä ,just 
hotelliin ,to the hotel 
taisimme ,we think 
kiltisti ,nicely 
sää ,weather 
kunniaksi ,in honor of 
päiväksi ,for a day 
suunnitellut ,designed by 
bisnestä ,of business 
kappale ,paragraph 
menetkö ,are you going 
portin ,the gate 
rehtori ,headmaster 
loistavasti ,fine 
iisisti ,coolly 
vaimonne ,your wife 
tapasit ,you met 
suosittelen ,I recommend 
Sydney ,Sydney 
West ,West 
päätäsi ,your head 
veneen ,the boat 
kalaa ,fish 
Lontoossa ,in London 
tilaisuutta ,opportunity 
numerot ,numbers 
sandy ,Sandy 
nimittäin ,namely 
Nicholas ,Nicholas 
odotti ,waited 
odotahan ,wait 
pelleile ,fool around 
tuleen ,into the fire 
kuu ,Moon 
lämmintä ,warm 
ollut ,been 
kusipäät ,assholes 
Earl ,Earl 
rennosti ,casually 
kauniilta ,beautiful 
Simpson ,Simpson 
käsitä ,understand 
lapsensa ,their children 
bravo ,Bravo 
laukku ,bag 
kolmesta ,out of three 
kertoisi ,would tell 
jin ,Jin 
uhkaa ,threatens 
toimesta ,through the agency of 
päättynyt ,finished 
pelistä ,of the game 
haju ,smell 
tehtäväsi ,your tasks 
valitsit ,you chose 
vapaasti ,freely 
vastasi ,answered 
kosto ,revenge 
onneton ,unhappy 
hommaan ,get to work 
nappia ,button 
syyttäjä ,prosecutor 
perseesi ,your ass 
kävelen ,I'm walking 
miehellä ,with a man 
lukuun ,account 
tuollaisen ,like that 
kerromme ,we will tell 
synnyin ,native 
väitä ,argue 
työstä ,from work 
kysytään ,let's ask 
versio ,version 
ovelle ,to the door 
kukas ,flower 
vaikeuksissa ,in trouble 
ehdotus ,proposal 
jatkat ,you continue 
isoäiti ,grandmother 
uskalla ,dare 
vaikutus ,effect 
uskoisin ,i would believe 
kerrottu ,double 
takanasi ,behind you 
riittävästi ,sufficiently 
valinnut ,chose 
kotini ,my home 
demoni ,demon 
Freddy ,Freddy 
kokoa ,the size 
päivälliselle ,for dinner 
hiljainen ,quiet 
saammeko ,can we 
siirretään ,will be transferred 
tervetulleeksi ,welcome 
päästän ,I let go 
mukavalta ,comfortable 
samppanjaa ,champagne 
pojalle ,for the boy 
kadulle ,to the street 
kuulitte ,you heard 
murhan ,murder 
YK ,UN 
itkeä ,cry 
pitkää ,long 
signaali ,signal 
ensimmäiseksi ,first 
mi ,mi 
tauti ,disease 
itseasiassa ,in fact 
todistaja ,witness 
välillämme ,between us 
saisimme ,we would get 
Ronnie ,Ronnie 
tietty ,certain 
vaikutat ,you influence 
Clay ,Clay 
aikuinen ,adult 
vedessä ,in the water 
suutele ,kiss 
kaikin ,everything 
saarelle ,to the island 
uskomattoman ,incredibly 
kahvi ,coffee 
lopetti ,stopped 
toivotaan ,let's hope 
aloitin ,I started 
alkuun ,to the beginning 
Jonathan ,Jonathan 
kädessä ,on 
autoit ,cars 
kysyit ,you asked 
ymmärtämään ,to understand 
kätenne ,your hand 
viereen ,beside 
kävisikö ,would it be possible 
nimeään ,to his name 
jokaisessa ,in each one 
yksikkö ,unit 
Rooman ,Roman 
aamun ,the morning 
ruohoa ,grass 
King ,King 
Ian ,Ian 
toimiiko ,does it work 
to ,Thu 
menikö ,did i go 
man ,man 
parka ,poor 
josh ,Josh 
huomata ,note 
ikään ,age 
poikaystäväsi ,your boyfriend 
kansan ,public 
pyytämään ,to ask for 
tapahtumat ,proceedings 
pilvessä ,stoned 
asiani ,my thing 
kädestä ,from the hand 
sairaala ,hospital 
kävelee ,walks 
paikoillanne ,in your places 
järjetöntä ,absurd 
hyökätä ,attack 
syöt ,you eat 
omasi ,yours 
show ,show 
tuntuuko ,Do you feel 
käsitellä ,deal with 
Amerikkaan ,to America 
rakkaudesta ,for love 
viitsikö ,do you mind 
tunnemme ,we feel 
hampaat ,teeth 
paketti ,package 
kaltaisesi ,like you 
käteistä ,cash 
luopua ,abandon 
yksinkertaisesti ,simply 
sonny ,Sonny 
sokeria ,sugar 
Stanley ,Stanley 
lähistöllä ,nearby 
tiennytkään ,didn't know 
vakooja ,spy 
teko ,artificial 
tunnista ,recognize 
tahtoisin ,I would like to 
hoidat ,you take care 
samasta ,of the same 
elävä ,living 
joseph ,joseph 
seurasi ,followed 
pettänyt ,betrayed 
yksiköt ,units 
ihmeen ,wonder 
tuot ,you bring 
Willie ,Willie 
pystyi ,could 
lahjakas ,talented 
esittelen ,I present 
lähempänä ,closer 
osoitteen ,address 
auttaisi ,would help 
Pariisiin ,to Paris 
veto ,bet 
ainoan ,the only one 
itä ,east 
metsään ,to the forest 
olethan ,you are 
ajattelevat ,are thinking 
ihmiskunnan ,of mankind 
Tracy ,Tracy 
taistelua ,fight 
aluksella ,on shipboard 
suunniteltu ,scheduled 
puheenjohtaja ,chairman 
työskennellyt ,worked 
kotiisi ,to your home 
siinäpä ,that's it 
kolmea ,three 
rauhallinen ,quiet 
sopia ,fit 
kunniaa ,honor 
hetkenä ,in a moment 
heitän ,i throw 
rannalle ,to the beach 
betty ,Betty 
drinkin ,a drink 
syömme ,we eat 
seiso ,stand up 
rahoista ,of the money 
pojasta ,about the boy 
kärsiä ,suffer 
ylittää ,exceed 
ainoat ,the only ones 
puoleen ,half 
Shane ,Shane 
jutussa ,in the story 
tauko ,break 
selvästikin ,obviously 
tottele ,obey 
laulun ,the song 
siellä ,there 
silmänsä ,his eyes 
aikanaan ,in due course 
tärkeämpää ,more important 
vaati ,demanded 
putoaa ,falls 
loi ,created 
punaista ,red 
naama ,face 
Lontooseen ,To London 
sellaiset ,such 
Sophie ,Sophie 
toimin ,I acted 
varmaa ,for sure 
muistin ,I remembered 
ansaitset ,you deserve 
karata ,elope 
uni ,sleep 
pysyvät ,are permanent 
yritätte ,you try 
syyni ,my reason 
Dennis ,Dennis 
käytit ,you used 
palan ,I'm burning 
tuijotat ,you stare 
panee ,put 
saksalaiset ,the germans 
Neil ,Neil 
tappaminen ,killing 
varastit ,you stole 
loukata ,violate 
penny ,penny 
ylpeitä ,proud 
aviomies ,husband 
Michelle ,Michelle 
osaavat ,know how 
tarinaa ,story 
lukien ,from 
eläimet ,the animals 
luulla ,think 
sunnuntaina ,on Sunday 
kerroitko ,Did you tell 
Elaine ,Elaine 
vaihe ,step 
kotiini ,to my home 
pystyyn ,up 
vuodet ,years 
halki ,through 
Ricky ,Ricky 
toveri ,comrade 
kokemusta ,experience 
kärsii ,suffers 
mainita ,mention 
varoitan ,I warn you 
lennä ,fly 
kirjoitettu ,written 
tupakkaa ,tobacco 
santa ,sand 
ottaisin ,I would take it 
murhaa ,murder 
randy ,Randy 
olisipa ,would be 
kokeillaan ,let's try 
tilalle ,in place of 
ystävää ,a friend 
palatkaa ,come back 
aseeni ,my gun 
ollutkin ,was 
autamme ,we help 
huomaat ,you notice 
pitkät ,long ones 
urhea ,brave 
poikaystäväni ,my boyfriend 
ollessa ,while being 
olut ,beer 
taistelemme ,we fight 
Ashley ,Ashley 
Anthony ,Anthony 
legenda ,legend 
Jeesuksen ,of Jesus 
ellette ,unless you 
paikkaansa ,in place 
luodin ,the bullet 
jäljelle ,left behind 
kaivaa ,dig 
näyttääkö ,does it seem 
sanottuna ,that being said 
ihanko ,Absolutely 
menetän ,i lose 
kilttejä ,kind ones 
vastoin ,contrary to 
odottaneet ,have been waiting for 
hienon ,great 
kuuleeko ,can you hear 
raportti ,report 
vihaat ,you hate 
korvata ,replace 
tunteja ,hours 
väitätkö ,Do you claim? 
hyökkäyksen ,the attack 
niinku ,like that 
menetät ,you lose 
hukkaan ,wasted 
murtunut ,broken 
illalliselle ,for dinner 
upseeri ,officer 
etsitte ,you are looking for 
nauhan ,tape 
ääneen ,aloud 
saavuttaa ,reach 
kanaa ,chicken 
mielestään ,in his opinion 
tyttärenne ,your daughter 
tule ,come on 
oletko ,are you 
setäni ,my uncle 
aiotteko ,are you going to 
kokeita ,experiments 
ryhtyä ,start 
syvällä ,deep 
näkivät ,saw 
nukun ,i sleep 
ajattelimme ,we thought 
lähdetkö ,are you leaving 
viimeisenä ,last 
black ,black 
Marshall ,Marshall 
kutsuttiin ,was invited 
valehteli ,lied 
päässeet ,have reached 
ystäviäni ,my friends 
tämäpä ,this one 
Walker ,Walker 
löysitte ,you found 
tyhmiä ,fools 
työntää ,push 
oliver ,Oliver 
lentäjä ,pilot 
apuani ,my help 
ajatteli ,thought 
kung ,king 
karhu ,bear 
harkita ,consider 
puuta ,of wood 
Harold ,Harold 
annettu ,given 
piittaa ,to care 
kysymystä ,question 
munia ,lay eggs 
kohteen ,of the object 
seurannut ,followed 
voitat ,you win 
kiinnostavaa ,interesting 
vaarallisia ,dangerous 
lakimies ,lawyer 
lehti ,leaf 
kaupassa ,in the store 
katsovat ,are watching 
syvälle ,deep 
vapauta ,release 
aioit ,you were going to 
varmistan ,I will make sure 
majesteettinne ,your majesty 
jollekulle ,to someone 
voitamme ,we will win 
Sebastian ,Sebastian 
sittenhän ,well then 
junior ,junior 
ali ,under 
saari ,island 
aseman ,position 
treffeille ,for a date 
vuosiin ,for years 
monen ,multi 
välein ,every 
myöten ,down to 
pakene ,run away 
hallitsee ,dominates 
minkään ,nothing 
ehtiä ,reach 
onnelliseksi ,to be happy 
kylään ,to the village 
annatte ,you give 
taisteluun ,to battle 
Casey ,Casey 
ihmisiin ,to people 
yksikin ,even one 
löydätte ,you will find 
valetta ,lie 
kuolemaansa ,to his death 
Duke ,Duke 
numeroa ,number 
keisari ,emperor 
Stephen ,Stephen 
hmm ,hmm 
mustasukkainen ,jealous 
Buffy ,Buffy 
löytyykö ,can be found 
pomoni ,my boss 
sekoittaa ,confuse 
moottori ,engine 
purkaa ,land 
kutsukaa ,invite 
säälittävä ,pathetic 
Ford ,Ford 
omistan ,I own 
itsekään ,myself too 
kateellinen ,envious 
muutoksia ,changes 
suunta ,direction 
palasin ,i came back 
Jessica ,Jessica 
kuolleiden ,of the dead 
pystyä ,can 
maista ,taste 
kokki ,cook 
tuohan ,that 
luoksemme ,to us 
tulevaisuudessa ,in the future 
katse ,look 
ajamaan ,to drive 
tylsä ,boring 
hevoset ,horseflesh 
tarjoilija ,Waiter 
erinomainen ,excellent 
poliisien ,the police officers 
henkilöä ,person 
asunut ,lived in 
toimivan ,to work 
pyörii ,spins 
pahat ,the bad ones 
esitä ,present 
ensimmäisellä ,on the first one 
vakuutan ,I assure you 
istuin ,seat 
kertoivat ,told 
hädin ,barely 
Rob ,Rob 
rentoutua ,relax 
käytöstä ,of use 
seisomaan ,to stand up 
samana ,the same 
manny ,Manny 
lapsista ,about children 
edustaa ,represent 
Davis ,Davis 
robotti ,robot 
kakkua ,cake 
huomiseen ,until tomorrow 
näitte ,you saw 
vastaavaa ,equivalent 
virta ,power 
mahtavia ,awesome 
huonot ,the bad ones 
loppujen ,the rest 
kuvaan ,to the picture 
laula ,Sing 
hakee ,is applying 
planeetalla ,on the planet 
tapauksen ,the case 
leikkimään ,to play 